locus_tag	ftype	length_bp	gene	EC_number	COG	product
PMUR_00859	CDS	771	trmB	2.1.1.33		tRNA (guanine-N(7)-)-methyltransferase
PMUR_00860	CDS	93				hypothetical protein
PMUR_00861	CDS	585				hypothetical protein
PMUR_00862	CDS	1110				Iron-sulfur cluster carrier protein
PMUR_00863	CDS	1068	mnmA	2.8.1.13		tRNA-specific 2-thiouridylase MnmA
PMUR_00864	CDS	435				hypothetical protein
PMUR_00865	CDS	2952				hypothetical protein
PMUR_00866	CDS	870	carD	1.3.1.108	COG2086	Caffeyl-CoA reductase-Etf complex subunit CarD
PMUR_00867	CDS	1023	carE	1.3.1.108	COG2025	Caffeyl-CoA reductase-Etf complex subunit CarE
PMUR_00868	CDS	1707	caiA	1.3.99.-		Crotonobetainyl-CoA dehydrogenase
PMUR_00869	CDS	909				hypothetical protein
PMUR_00870	CDS	1902	dxs_1	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
PMUR_00871	CDS	1359	trkA		COG0569	Trk system potassium uptake protein TrkA
PMUR_00872	CDS	1458	trkH		COG0168	Trk system potassium uptake protein TrkH
PMUR_00873	CDS	963	manA	5.3.1.8	COG1482	Mannose-6-phosphate isomerase ManA
PMUR_00874	CDS	1023				hypothetical protein
PMUR_00875	CDS	819				hypothetical protein
PMUR_00876	CDS	897				hypothetical protein
PMUR_00877	CDS	1083	mdtA_2			Multidrug resistance protein MdtA
PMUR_00878	CDS	3033	bepE_1			Efflux pump membrane transporter BepE
PMUR_00879	CDS	1359				hypothetical protein
PMUR_00880	CDS	351				hypothetical protein
PMUR_00881	CDS	2622	alaS	6.1.1.7	COG0013	Alanine--tRNA ligase
PMUR_00882	CDS	417				hypothetical protein
PMUR_00883	CDS	996	pemA_2	3.1.1.11	COG4677	Pectinesterase A
PMUR_00884	CDS	2277	relA_2	2.7.6.5	COG0317	GTP pyrophosphokinase
PMUR_00885	CDS	1296	mltD	4.2.2.-	COG0741	Membrane-bound lytic murein transglycosylase D
PMUR_00886	CDS	822				hypothetical protein
PMUR_00887	CDS	924	parB		COG1475	putative chromosome-partitioning protein ParB
PMUR_00888	CDS	765	soj_1	3.6.-.-	COG1192	Sporulation initiation inhibitor protein Soj
PMUR_00889	CDS	774	surE	3.1.3.5	COG0496	5'-nucleotidase SurE
PMUR_00890	CDS	1158	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
PMUR_00891	CDS	306				hypothetical protein
PMUR_00892	CDS	396				hypothetical protein
PMUR_00893	CDS	900				hypothetical protein
PMUR_00894	CDS	1128				hypothetical protein
PMUR_00895	CDS	417				hypothetical protein
PMUR_00896	CDS	1467				hypothetical protein
PMUR_00897	CDS	201				hypothetical protein
PMUR_00898	CDS	882	rhaR_2			HTH-type transcriptional activator RhaR
PMUR_00899	CDS	2565	uvrA_2		COG0178	UvrABC system protein A
PMUR_00900	CDS	555		2.3.1.-		Putative acetyltransferase
PMUR_00901	CDS	651	lacA	2.3.1.18	COG0110	Galactoside O-acetyltransferase
PMUR_00902	CDS	540				hypothetical protein
PMUR_00903	CDS	792				hypothetical protein
PMUR_00904	CDS	339				hypothetical protein
PMUR_00905	CDS	792				hypothetical protein
PMUR_00906	CDS	705				hypothetical protein
PMUR_00907	CDS	1050				hypothetical protein
PMUR_00908	CDS	381				hypothetical protein
PMUR_00909	CDS	249				hypothetical protein
PMUR_00910	CDS	1293				hypothetical protein
PMUR_00911	CDS	660				hypothetical protein
PMUR_00912	CDS	1194	xerC_1			Tyrosine recombinase XerC
PMUR_00913	CDS	1161	xerC_2			Tyrosine recombinase XerC
PMUR_00914	CDS	192				hypothetical protein
PMUR_00915	CDS	852				hypothetical protein
PMUR_00916	CDS	1998	ftsH4	3.4.24.-		ATP-dependent zinc metalloprotease FtsH 4
PMUR_00917	CDS	360	rsfS			Ribosomal silencing factor RsfS
PMUR_00918	tRNA	72				tRNA-Gln(ctg)
PMUR_00919	CDS	1851	yesX	4.2.2.24		Rhamnogalacturonan exolyase YesX
PMUR_00920	CDS	414				hypothetical protein
PMUR_00921	CDS	828				hypothetical protein
PMUR_00922	CDS	1065	dinB	2.7.7.7	COG0389	DNA polymerase IV
PMUR_00923	CDS	645				hypothetical protein
PMUR_00924	CDS	1212				hypothetical protein
PMUR_00925	CDS	1497	recD2_2	3.6.4.12		ATP-dependent RecD-like DNA helicase
PMUR_00926	CDS	2682				hypothetical protein
PMUR_00927	CDS	822				hypothetical protein
PMUR_00928	CDS	531	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
PMUR_00929	CDS	1434	clsA	2.7.8.-	COG1502	Major cardiolipin synthase ClsA
PMUR_00930	CDS	585	queE	4.3.99.3		7-carboxy-7-deazaguanine synthase
PMUR_00931	CDS	339	queD	4.1.2.50	COG0720	6-carboxy-5,6,7,8-tetrahydropterin synthase
PMUR_00932	CDS	2034	dnaG_1	2.7.7.-		DNA primase
PMUR_00933	CDS	1620				hypothetical protein
PMUR_00934	CDS	282				hypothetical protein
PMUR_00935	CDS	3033	mdtB			Multidrug resistance protein MdtB
PMUR_00936	CDS	3051	mdtC_1			Multidrug resistance protein MdtC
PMUR_00937	CDS	1104				hypothetical protein
PMUR_00938	CDS	1467				hypothetical protein
PMUR_00939	CDS	513				hypothetical protein
PMUR_00940	CDS	336				hypothetical protein
PMUR_00941	CDS	189				hypothetical protein
PMUR_00942	CDS	135				hypothetical protein
PMUR_00943	CDS	372				hypothetical protein
PMUR_00944	CDS	579				hypothetical protein
PMUR_00945	CDS	312				hypothetical protein
PMUR_00946	CDS	330				hypothetical protein
PMUR_00947	CDS	1134				hypothetical protein
PMUR_00948	CDS	1221				hypothetical protein
PMUR_00949	CDS	1626				hypothetical protein
PMUR_00950	CDS	189				hypothetical protein
PMUR_00951	CDS	135				hypothetical protein
PMUR_00952	CDS	372				hypothetical protein
PMUR_00953	CDS	579				hypothetical protein
PMUR_00954	CDS	273				hypothetical protein
PMUR_00955	CDS	945				hypothetical protein
PMUR_00956	CDS	93				hypothetical protein
PMUR_00957	CDS	1953				hypothetical protein
PMUR_00958	CDS	870				hypothetical protein
PMUR_00959	CDS	1791				hypothetical protein
PMUR_00960	CDS	570				hypothetical protein
PMUR_00961	CDS	1368	norM		COG0534	Multidrug resistance protein NorM
PMUR_00962	CDS	1209				hypothetical protein
PMUR_00963	CDS	987				hypothetical protein
PMUR_00964	CDS	858				hypothetical protein
PMUR_00965	CDS	1332				hypothetical protein
PMUR_00966	CDS	831				hypothetical protein
PMUR_00967	CDS	879				hypothetical protein
PMUR_00968	CDS	1344	iolG_1	1.1.1.18		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
PMUR_00969	CDS	1065	hisC2	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase 2
PMUR_00970	CDS	660				hypothetical protein
PMUR_00971	CDS	1248				hypothetical protein
PMUR_00972	CDS	1200				hypothetical protein
PMUR_00973	CDS	1059				hypothetical protein
PMUR_00974	CDS	186				hypothetical protein
PMUR_00975	CDS	648				hypothetical protein
PMUR_00976	CDS	666				hypothetical protein
PMUR_00977	CDS	1203				IS110 family transposase ISCsa3
PMUR_00978	CDS	1281				hypothetical protein
PMUR_00979	CDS	1857				hypothetical protein
PMUR_00980	CDS	1473				hypothetical protein
PMUR_00981	CDS	393				hypothetical protein
PMUR_00982	CDS	1347	nhaD_2		COG1055	Na(+)/H(+) antiporter NhaD
PMUR_00983	CDS	1482	rhaB	2.7.1.5	COG1070	L-Rhamnulokinase
PMUR_00984	CDS	1257	rhaA	5.3.1.14	COG4806	L-rhamnose isomerase
PMUR_00985	CDS	1035	rhaT		COG0697	L-rhamnose-proton symporter
PMUR_00986	CDS	1542				hypothetical protein
PMUR_00987	CDS	2214				hypothetical protein
PMUR_00988	CDS	468				hypothetical protein
PMUR_00989	misc_RNA	189				Cobalamin
PMUR_00990	CDS	90				hypothetical protein
PMUR_00991	CDS	6315				hypothetical protein
PMUR_00992	CDS	1212				hypothetical protein
PMUR_00993	CDS	804	rlmB_2	2.1.1.185		23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
PMUR_00994	CDS	2001				hypothetical protein
PMUR_00995	CDS	4884	rep_1	3.6.4.12		ATP-dependent DNA helicase Rep
PMUR_00996	CDS	873				hypothetical protein
PMUR_00997	CDS	1620				hypothetical protein
PMUR_00998	CDS	234				hypothetical protein
PMUR_00999	CDS	771				hypothetical protein
PMUR_01000	CDS	204				hypothetical protein
PMUR_01001	CDS	456				hypothetical protein
PMUR_01002	CDS	174				hypothetical protein
PMUR_01003	CDS	195				hypothetical protein
PMUR_01004	CDS	2082				hypothetical protein
PMUR_01005	CDS	876				hypothetical protein
PMUR_01006	CDS	618				hypothetical protein
PMUR_01007	CDS	246				hypothetical protein
PMUR_01008	CDS	345				hypothetical protein
PMUR_01009	CDS	201				hypothetical protein
PMUR_01010	CDS	132				hypothetical protein
PMUR_01011	CDS	414				hypothetical protein
PMUR_01012	CDS	522				hypothetical protein
PMUR_01013	CDS	309				hypothetical protein
PMUR_01014	CDS	504				hypothetical protein
PMUR_01015	CDS	618				hypothetical protein
PMUR_01016	CDS	1164				hypothetical protein
PMUR_01017	CDS	1338				hypothetical protein
PMUR_01018	CDS	441				hypothetical protein
PMUR_01019	CDS	1530				hypothetical protein
PMUR_01020	CDS	444				hypothetical protein
PMUR_01021	CDS	1107	clpP_1	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
PMUR_01022	CDS	906				hypothetical protein
PMUR_01023	CDS	1194				hypothetical protein
PMUR_01024	CDS	408				hypothetical protein
PMUR_01025	CDS	285				hypothetical protein
PMUR_01026	CDS	111				hypothetical protein
PMUR_01027	CDS	1752				hypothetical protein
PMUR_01028	CDS	648				hypothetical protein
PMUR_01029	CDS	954				hypothetical protein
PMUR_01030	CDS	483				hypothetical protein
PMUR_01031	CDS	300				hypothetical protein
PMUR_01032	CDS	498				hypothetical protein
PMUR_01033	CDS	435				hypothetical protein
PMUR_01034	CDS	522				hypothetical protein
PMUR_01035	CDS	276				hypothetical protein
PMUR_01036	CDS	855				hypothetical protein
PMUR_01037	CDS	486				hypothetical protein
PMUR_01038	CDS	786				hypothetical protein
PMUR_01039	CDS	7236				hypothetical protein
PMUR_01040	CDS	267				hypothetical protein
PMUR_01041	CDS	1311				hypothetical protein
PMUR_01042	CDS	486				hypothetical protein
PMUR_01043	CDS	243				hypothetical protein
PMUR_01044	CDS	834				hypothetical protein
PMUR_01045	CDS	639	thyA_1	2.1.1.45	COG0207	Thymidylate synthase
PMUR_01046	CDS	126				hypothetical protein
PMUR_01047	CDS	1473	pknD_1	2.7.11.1		Serine/threonine-protein kinase PknD
PMUR_01048	CDS	1473				hypothetical protein
PMUR_01049	CDS	1923				hypothetical protein
PMUR_01050	CDS	1326	pknD_2	2.7.11.1		Serine/threonine-protein kinase PknD
PMUR_01051	CDS	1002				hypothetical protein
PMUR_01052	CDS	1125				hypothetical protein
PMUR_01053	CDS	1809				hypothetical protein
PMUR_01054	CDS	498				hypothetical protein
PMUR_01055	CDS	1230				hypothetical protein
PMUR_01056	CDS	909				hypothetical protein
PMUR_01057	CDS	1203				hypothetical protein
PMUR_01058	CDS	744				hypothetical protein
PMUR_01059	CDS	2391				hypothetical protein
PMUR_01060	CDS	2103				hypothetical protein
PMUR_01061	CDS	1188				hypothetical protein
PMUR_01062	CDS	1053				hypothetical protein
PMUR_01063	CDS	666				hypothetical protein
PMUR_01064	CDS	330				hypothetical protein
PMUR_01065	CDS	1032				hypothetical protein
PMUR_01066	CDS	3144				hypothetical protein
PMUR_01067	CDS	321				hypothetical protein
PMUR_01068	CDS	1491				hypothetical protein
PMUR_01069	CDS	2025				hypothetical protein
PMUR_01070	CDS	453				hypothetical protein
PMUR_01071	CDS	408				hypothetical protein
PMUR_01072	CDS	1383				hypothetical protein
PMUR_01073	CDS	456				hypothetical protein
PMUR_01074	CDS	2289	clpC_1		COG0542	ATP-dependent Clp protease ATP-binding subunit ClpC
PMUR_01075	CDS	780	rfaH_2			Transcription antitermination protein RfaH
PMUR_01076	CDS	90				hypothetical protein
PMUR_01077	CDS	1008	cysK1	2.5.1.47	COG0031	O-acetylserine sulfhydrylase
PMUR_01078	CDS	510				hypothetical protein
PMUR_01079	CDS	1335				hypothetical protein
PMUR_01080	CDS	561	frr		COG0233	Ribosome-recycling factor
PMUR_01081	CDS	933	rsgA	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
PMUR_01082	CDS	207				hypothetical protein
PMUR_01083	CDS	810	rhaD	4.1.2.19	COG0235	Rhamnulose-1-phosphate aldolase
PMUR_01084	CDS	633				hypothetical protein
PMUR_01085	CDS	1227		1.5.1.43	COG1748	Carboxynorspermidine synthase
PMUR_01086	CDS	1038	recA			Protein RecA
PMUR_01087	CDS	1044				hypothetical protein
PMUR_01088	CDS	150				hypothetical protein
PMUR_01089	CDS	1911	dnaK		COG0443	Chaperone protein DnaK
PMUR_01090	CDS	546				hypothetical protein
PMUR_01091	CDS	1263	xerC_3			Tyrosine recombinase XerC
PMUR_01092	CDS	354				hypothetical protein
PMUR_01093	CDS	597				hypothetical protein
PMUR_01094	CDS	1806				hypothetical protein
PMUR_01095	CDS	369				hypothetical protein
PMUR_01096	CDS	900				hypothetical protein
PMUR_01097	CDS	633				hypothetical protein
PMUR_01098	CDS	1800				hypothetical protein
PMUR_01099	CDS	4110				hypothetical protein
PMUR_01100	CDS	2880	rapA	3.6.4.-		RNA polymerase-associated protein RapA
PMUR_01101	CDS	5187	rhlB	3.6.4.13		ATP-dependent RNA helicase RhlB
PMUR_01102	CDS	825				hypothetical protein
PMUR_01103	CDS	711				hypothetical protein
PMUR_01104	CDS	1215				hypothetical protein
PMUR_01105	CDS	1263	xerC_4			Tyrosine recombinase XerC
PMUR_01106	CDS	159				hypothetical protein
PMUR_01107	CDS	534				hypothetical protein
PMUR_01108	CDS	153				hypothetical protein
PMUR_01109	CDS	141				hypothetical protein
PMUR_01110	CDS	423				hypothetical protein
PMUR_01111	CDS	1344				hypothetical protein
PMUR_01112	CDS	1623	smc_1			Chromosome partition protein Smc
PMUR_01113	CDS	2322				hypothetical protein
PMUR_01114	CDS	324				hypothetical protein
PMUR_01115	CDS	531				hypothetical protein
PMUR_01116	CDS	150				hypothetical protein
PMUR_01117	CDS	216				hypothetical protein
PMUR_01118	CDS	168				hypothetical protein
PMUR_01119	CDS	261				hypothetical protein
PMUR_01120	CDS	117				hypothetical protein
PMUR_01121	CDS	2010				hypothetical protein
PMUR_01122	CDS	189				hypothetical protein
PMUR_01123	CDS	2214	ptpA	3.4.14.12	COG1506	Prolyl tripeptidyl peptidase
PMUR_01124	CDS	1608	rlmL	2.1.1.264		Ribosomal RNA large subunit methyltransferase K/L
PMUR_01125	CDS	891	dapH_4	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
PMUR_01126	CDS	852				hypothetical protein
PMUR_01127	CDS	738	gph_2	3.1.3.18		Phosphoglycolate phosphatase
PMUR_01128	CDS	1329				hypothetical protein
PMUR_01129	CDS	2601				hypothetical protein
PMUR_01130	CDS	783				hypothetical protein
PMUR_01131	CDS	945				hypothetical protein
PMUR_01132	CDS	2397				hypothetical protein
PMUR_01133	CDS	1884		3.2.1.131	COG3661	Extracellular xylan exo-alpha-(1->2)-glucuronosidase
PMUR_01134	CDS	1347	xynD_1	3.2.1.55		Arabinoxylan arabinofuranohydrolase
PMUR_01135	CDS	966	xsa			Xylosidase/arabinosidase
PMUR_01136	CDS	1113	xylI	3.2.1.8	COG3693	Endo-1,4-beta-xylanase A
PMUR_01137	CDS	1491	yagG		COG2211	Putative glycoside/cation symporter YagG
PMUR_01138	CDS	1902				hypothetical protein
PMUR_01139	CDS	2442				hypothetical protein
PMUR_01140	CDS	102				hypothetical protein
PMUR_01141	CDS	183				hypothetical protein
PMUR_01142	CDS	174				hypothetical protein
PMUR_01143	CDS	351				hypothetical protein
PMUR_01144	CDS	1518				hypothetical protein
PMUR_01145	CDS	858				hypothetical protein
PMUR_01146	CDS	285				hypothetical protein
PMUR_01147	CDS	3747	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase
PMUR_01148	CDS	549	chrA			Chromate transport protein
PMUR_01149	CDS	576				hypothetical protein
PMUR_01150	CDS	975	abnB	3.2.1.99		Intracellular endo-alpha-(1->5)-L-arabinanase
PMUR_01151	CDS	2460				hypothetical protein
PMUR_01152	CDS	753	tcdA	6.1.-.-	COG1179	tRNA threonylcarbamoyladenosine dehydratase
PMUR_01153	CDS	468	guaD	3.5.4.3	COG0590	Guanine deaminase
PMUR_01154	CDS	1773				hypothetical protein
PMUR_01155	CDS	3054	susC_3			TonB-dependent receptor SusC
PMUR_01156	CDS	2865	rcsC_3	2.7.13.3		Sensor histidine kinase RcsC
PMUR_01157	CDS	1326				hypothetical protein
PMUR_01158	CDS	1845				hypothetical protein
PMUR_01159	CDS	1188				hypothetical protein
PMUR_01160	CDS	882	pfkB	2.7.1.11	COG0524	ATP-dependent 6-phosphofructokinase
PMUR_01161	CDS	807				hypothetical protein
PMUR_01162	CDS	1626				hypothetical protein
PMUR_01163	CDS	1020				hypothetical protein
PMUR_01164	CDS	696				hypothetical protein
PMUR_01165	CDS	1098				hypothetical protein
PMUR_01166	CDS	702				hypothetical protein
PMUR_01167	CDS	750				hypothetical protein
PMUR_01168	CDS	2268				hypothetical protein
PMUR_01169	CDS	618				hypothetical protein
PMUR_01170	CDS	195				hypothetical protein
PMUR_01171	CDS	1176				hypothetical protein
PMUR_01172	CDS	2640				hypothetical protein
PMUR_01173	CDS	2682				hypothetical protein
PMUR_01174	CDS	195				hypothetical protein
PMUR_01175	CDS	1182	purH_1		COG0138	Bifunctional purine biosynthesis protein PurH
PMUR_01176	CDS	1683				hypothetical protein
PMUR_01177	CDS	894	nadK	2.7.1.23		NAD kinase
PMUR_01178	CDS	714	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
PMUR_01179	CDS	567	yajL	3.1.2.-	COG0693	Protein/nucleic acid deglycase 3
PMUR_01180	CDS	681	ispD	2.7.7.60	COG1211	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
PMUR_01181	CDS	2100	recG	3.6.4.12	COG1200	ATP-dependent DNA helicase RecG
PMUR_01182	CDS	144				hypothetical protein
PMUR_01183	CDS	936				hypothetical protein
PMUR_01184	CDS	663				hypothetical protein
PMUR_01185	CDS	645				hypothetical protein
PMUR_01186	CDS	480	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
PMUR_01187	CDS	1176				hypothetical protein
PMUR_01188	CDS	3660				hypothetical protein
PMUR_01189	CDS	618	ycgM		COG0179	putative protein YcgM
PMUR_01190	CDS	993	tsf			Elongation factor Ts
PMUR_01191	CDS	846	rpsB		COG0052	30S ribosomal protein S2
PMUR_01192	CDS	387	rpsI		COG0103	30S ribosomal protein S9
PMUR_01193	CDS	462	rplM		COG0102	50S ribosomal protein L13
PMUR_01194	CDS	375	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
PMUR_01195	CDS	2562				hypothetical protein
PMUR_01196	CDS	651				hypothetical protein
PMUR_01197	CDS	600		2.3.1.-	COG0110	Putative acetyltransferase
PMUR_01198	CDS	1935	glgB_1	2.4.1.18		1,4-alpha-glucan branching enzyme GlgB
PMUR_01199	CDS	2685				hypothetical protein
PMUR_01200	CDS	1446	exuT			Hexuronate transporter
PMUR_01201	CDS	2475		5.1.1.1		Alanine racemase
PMUR_01202	CDS	816				hypothetical protein
PMUR_01203	CDS	2730				hypothetical protein
PMUR_01204	CDS	738	nfrA2	1.5.1.39	COG0778	FMN reductase [NAD(P)H]
PMUR_01205	CDS	1260	gtf1_3	2.4.1.-		Glycosyltransferase Gtf1
PMUR_01206	CDS	789				hypothetical protein
PMUR_01207	CDS	987				hypothetical protein
PMUR_01208	CDS	141				hypothetical protein
PMUR_01209	CDS	1365	fucP_1		COG0738	L-fucose-proton symporter
PMUR_01210	CDS	2514				hypothetical protein
PMUR_01211	CDS	684	mtnN	3.2.2.9	COG0775	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
PMUR_01212	CDS	486	luxS	4.4.1.21	COG1854	S-ribosylhomocysteine lyase
PMUR_01213	CDS	1803	typA		COG1217	GTP-binding protein TypA/BipA
PMUR_01214	CDS	270	rpsO		COG0184	30S ribosomal protein S15
PMUR_01215	CDS	984				hypothetical protein
PMUR_01216	CDS	411	sulD		COG0801	Bifunctional folate synthesis protein
PMUR_01217	CDS	1161	queA_1	2.4.99.17		S-adenosylmethionine:tRNA ribosyltransferase-isomerase
PMUR_01218	CDS	708	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
PMUR_01219	CDS	798	uppP	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
PMUR_01220	CDS	279				hypothetical protein
PMUR_01221	CDS	879	ftsX		COG2177	Cell division protein FtsX
PMUR_01222	CDS	777				hypothetical protein
PMUR_01223	CDS	780	lpxA_2	2.3.1.129		Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
PMUR_01224	CDS	1386	oprM		COG1538	Outer membrane protein OprM
PMUR_01225	CDS	3243	bepE_2			Efflux pump membrane transporter BepE
PMUR_01226	CDS	1215	srpA			Solvent efflux pump periplasmic linker SrpA
PMUR_01227	CDS	1425	cca		COG0617	Multifunctional CCA protein
PMUR_01228	CDS	459				hypothetical protein
PMUR_01229	CDS	546				hypothetical protein
PMUR_01230	CDS	2067				hypothetical protein
PMUR_01231	CDS	645				hypothetical protein
PMUR_01232	CDS	585	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
PMUR_01233	CDS	447	tadA_1	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
PMUR_01234	CDS	375				hypothetical protein
PMUR_01235	CDS	759	birA	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
PMUR_01236	CDS	711	pyrH	2.7.4.22	COG0528	Uridylate kinase
PMUR_01237	CDS	2178				hypothetical protein
PMUR_01238	CDS	2370	resA_5			Thiol-disulfide oxidoreductase ResA
PMUR_01239	tRNA	75				tRNA-Pro(ggg)
PMUR_01240	CDS	1251	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
PMUR_01241	CDS	408				hypothetical protein
PMUR_01242	CDS	2883				hypothetical protein
PMUR_01243	CDS	1569	cheB	3.1.1.61		Chemotaxis response regulator protein-glutamate methylesterase
PMUR_01244	CDS	414	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
PMUR_01245	CDS	333				hypothetical protein
PMUR_01246	CDS	315				Thioredoxin C-2
PMUR_01247	CDS	3711	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
PMUR_01248	CDS	690	psd	4.1.1.65		Phosphatidylserine decarboxylase proenzyme
PMUR_01249	CDS	738				hypothetical protein
PMUR_01250	CDS	300				hypothetical protein
PMUR_01251	CDS	687				hypothetical protein
PMUR_01252	CDS	1974				hypothetical protein
PMUR_01253	CDS	639				hypothetical protein
PMUR_01254	CDS	843				hypothetical protein
PMUR_01255	CDS	1668				hypothetical protein
PMUR_01256	CDS	492	resA_6		COG0526	Thiol-disulfide oxidoreductase ResA
PMUR_01257	CDS	1761				hypothetical protein
PMUR_01258	CDS	1341				hypothetical protein
PMUR_01259	CDS	1221				hypothetical protein
PMUR_01260	CDS	1725				hypothetical protein
PMUR_01261	CDS	3324				hypothetical protein
PMUR_01262	CDS	888	yfkN_2		COG0737	Trifunctional nucleotide phosphoesterase protein YfkN
PMUR_01263	CDS	855				hypothetical protein
PMUR_01264	CDS	369	rplS		COG0335	50S ribosomal protein L19
PMUR_01265	CDS	312				hypothetical protein
PMUR_01266	CDS	822	ytrB		COG1131	ABC transporter ATP-binding protein YtrB
PMUR_01267	CDS	864				hypothetical protein
PMUR_01268	CDS	468				hypothetical protein
PMUR_01269	CDS	723	yknY	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
PMUR_01270	CDS	1257	macB_1	3.6.3.-		Macrolide export ATP-binding/permease protein MacB
PMUR_01271	CDS	1239	macB_2	3.6.3.-		Macrolide export ATP-binding/permease protein MacB
PMUR_01272	CDS	1107	macA		COG0845	Macrolide export protein MacA
PMUR_01273	CDS	1344				hypothetical protein
PMUR_01274	CDS	1164				hypothetical protein
PMUR_01275	CDS	807		1.10.3.-	COG1496	Polyphenol oxidase
PMUR_01276	CDS	1170	obg	3.6.5.-		GTPase Obg
PMUR_01277	CDS	579	adk	2.7.4.3	COG0563	Adenylate kinase
PMUR_01278	CDS	540	hpt	2.4.2.8	COG0634	Hypoxanthine phosphoribosyltransferase
PMUR_01279	CDS	1515	nnr		COG0062	Bifunctional NAD(P)H-hydrate repair enzyme Nnr
PMUR_01280	CDS	1068				hypothetical protein
PMUR_01281	CDS	132				hypothetical protein
PMUR_01282	CDS	1146				Outer membrane protein 40
PMUR_01283	CDS	1182				hypothetical protein
PMUR_01284	CDS	714				hypothetical protein
PMUR_01285	CDS	3342				hypothetical protein
PMUR_01286	CDS	1785				hypothetical protein
PMUR_01287	CDS	2967				hypothetical protein
PMUR_01288	CDS	126				hypothetical protein
PMUR_01289	CDS	978				hypothetical protein
PMUR_01290	CDS	189				hypothetical protein
PMUR_01291	CDS	516				hypothetical protein
PMUR_01292	CDS	1284	mgl	4.4.1.11	COG0626	L-methionine gamma-lyase
PMUR_01293	CDS	1515				hypothetical protein
PMUR_01294	CDS	1098				hypothetical protein
PMUR_01295	CDS	1464				hypothetical protein
PMUR_01296	CDS	822				hypothetical protein
PMUR_01297	CDS	975				hypothetical protein
PMUR_01298	CDS	1317				hypothetical protein
PMUR_01299	CDS	1008				hypothetical protein
PMUR_01300	CDS	1794	mutS_2			DNA mismatch repair protein MutS
PMUR_01301	CDS	1005	fda	4.1.2.13	COG0191	Fructose-bisphosphate aldolase
PMUR_01302	CDS	1263				hypothetical protein
PMUR_01303	CDS	591	sigW_1		COG1595	ECF RNA polymerase sigma factor SigW
PMUR_01304	CDS	699				hypothetical protein
PMUR_01305	CDS	687				hypothetical protein
PMUR_01306	CDS	1038				hypothetical protein
PMUR_01307	CDS	567	efp		COG0231	Elongation factor P
PMUR_01308	CDS	156	rpmH		COG0230	50S ribosomal protein L34
PMUR_01309	CDS	432	yjaB	2.3.1.-	COG0454	putative N-acetyltransferase YjaB
PMUR_01310	CDS	459				hypothetical protein
PMUR_01311	CDS	237				hypothetical protein
PMUR_01312	CDS	849	smc_2			Chromosome partition protein Smc
PMUR_01313	CDS	750	rsmI	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
PMUR_01314	CDS	660	tdk	2.7.1.21	COG1435	Thymidine kinase
PMUR_01315	CDS	1101			COG0628	Putative transport protein
PMUR_01316	tRNA	74				tRNA-Lys(ttt)
PMUR_01317	CDS	1005				hypothetical protein
PMUR_01318	CDS	3405	htpG_1			Chaperone protein HtpG
PMUR_01319	CDS	1815				hypothetical protein
PMUR_01320	CDS	2715				hypothetical protein
PMUR_01321	CDS	609				hypothetical protein
PMUR_01322	CDS	162				hypothetical protein
PMUR_01323	CDS	1422				hypothetical protein
PMUR_01324	CDS	960	pstS			Phosphate-binding protein PstS
PMUR_01325	CDS	837				hypothetical protein
PMUR_01326	CDS	642				hypothetical protein
PMUR_01327	CDS	612				hypothetical protein
PMUR_01328	CDS	831				hypothetical protein
PMUR_01329	CDS	1194		2.6.1.1		Aspartate aminotransferase
PMUR_01330	CDS	1212	ribBA		COG0108	Riboflavin biosynthesis protein RibBA
PMUR_01331	CDS	1908				hypothetical protein
PMUR_01332	CDS	411				hypothetical protein
